Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2005','Oregon','Lung and Bronchus','70.1','67.5','72.9','2718','3613202'
'2005','Oklahoma','Lung and Bronchus','82','79.2','85','3120','3548597'
'2005','Ohio','Lung and Bronchus','76.9','75.4','78.5','9564','11463320'
'2005','South Carolina','Lung and Bronchus','77','74.4','79.6','3456','4270150'
'2005','Rhode Island','Lung and Bronchus','74.5','69.6','79.6','876','1067916'
'2005','Pennsylvania','Lung and Bronchus','71.8','70.4','73.1','10696','12449990'
'2005','Texas','Lung and Bronchus','68.3','67.1','69.5','13142','22773020'
'2005','Tennessee','Lung and Bronchus','83.9','81.7','86.2','5314','5991057'
'2005','Virginia','Lung and Bronchus','70.9','69','72.8','5227','7577105'
'2005','Vermont','Lung and Bronchus','70.2','64','76.8','478','621215'
'2005','West Virginia','Lung and Bronchus','94.4','90.4','98.5','2132','1820492'
'2005','Washington','Lung and Bronchus','68.3','66.2','70.4','4127','6257305'
'2005','Alaska','Lung and Bronchus','79.2','70.4','88.8','337','666946'
'2005','Alabama','Lung and Bronchus','76.1','73.7','78.6','3766','4565917'
'2005','Arkansas','Lung and Bronchus','83.9','80.7','87.2','2609','2781097'
'2005','California','Lung and Bronchus','54.9','54','55.7','17560','35827943'
'2005','Arizona','Lung and Bronchus','58.7','56.8','60.7','3573','5839077'
'2005','District of Columbia','Lung and Bronchus','63.8','57.3','70.8','357','567136'
'2005','Idaho','Lung and Bronchus','60.3','56.2','64.6','818','1428241'
'2005','Kansas','Lung and Bronchus','66.4','63.4','69.5','1905','2745299'
'2005','Nebraska','Lung and Bronchus','64.5','60.9','68.3','1199','1761497'
'2005','New Jersey','Lung and Bronchus','66.6','64.9','68.3','6123','8651974'
'2005','New York','Lung and Bronchus','64.8','63.7','66','13190','19132610'
'2005','North Dakota','Lung and Bronchus','62.9','57.3','69','458','646089'
'2005','South Dakota','Lung and Bronchus','60.9','55.8','66.4','527','775493'
'2005','Wisconsin','Lung and Bronchus','63.2','61.1','65.2','3709','5546166'
'2006','Utah','Lung and Bronchus','30','27.6','32.6','570','2525507'
